,match_id,match_venue,match_innings,batting_team,bowling_team,boundry_runs,wickets fallen,run_rate,total_score,Stadium_Category
906,734045.0,Brabourne Stadium,1.0,Mumbai Indians,Chennai Super Kings,9.0,0.0,8.833333333333334,53.0,Medium scoring
907,734045.0,Brabourne Stadium,2.0,Chennai Super Kings,Mumbai Indians,10.0,0.0,10.0,60.0,High scoring
908,734047.0,Wankhede Stadium,1.0,Kings XI Punjab,Chennai Super Kings,11.0,0.0,11.666666666666666,70.0,High scoring
909,734047.0,Wankhede Stadium,2.0,Chennai Super Kings,Kings XI Punjab,17.0,2.0,16.0,96.0,High scoring
910,734049.0,M Chinnaswamy Stadium,1.0,Kings XI Punjab,Kolkata Knight Riders,3.0,2.0,5.333333333333333,32.0,Low scoring
911,734049.0,M Chinnaswamy Stadium,2.0,Kolkata Knight Riders,Kings XI Punjab,7.0,1.0,9.833333333333334,59.0,High scoring
912,829733.0,Maharashtra Cricket Association Stadium,1.0,Kings XI Punjab,Kolkata Knight Riders,8.0,3.0,8.0,48.0,Medium scoring
913,829733.0,Maharashtra Cricket Association Stadium,2.0,Kolkata Knight Riders,Kings XI Punjab,8.0,2.0,8.833333333333334,53.0,Medium scoring
914,829735.0,"Sardar Patel Stadium, Motera",1.0,Chennai Super Kings,Rajasthan Royals,6.0,2.0,6.5,39.0,Medium scoring
915,829735.0,"Sardar Patel Stadium, Motera",2.0,Rajasthan Royals,Chennai Super Kings,8.0,0.0,7.833333333333333,47.0,Medium scoring
916,829737.0,M Chinnaswamy Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,8.0,1.0,8.0,48.0,Medium scoring
917,829737.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Mumbai Indians,4.0,1.0,5.333333333333333,32.0,Low scoring
918,829739.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Kolkata Knight Riders,5.0,2.0,5.666666666666667,34.0,Low scoring
919,829739.0,Feroz Shah Kotla,2.0,Kolkata Knight Riders,Delhi Daredevils,7.0,2.0,7.833333333333333,47.0,Medium scoring
920,829741.0,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,Kings XI Punjab,6.0,0.0,7.166666666666667,43.0,Medium scoring
921,829741.0,"Sardar Patel Stadium, Motera",2.0,Kings XI Punjab,Rajasthan Royals,4.0,1.0,6.666666666666667,40.0,Medium scoring
922,829743.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1.0,Sunrisers Hyderabad,Kolkata Knight Riders,6.0,0.0,7.166666666666667,43.0,Medium scoring
923,829743.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,Kolkata Knight Riders,Sunrisers Hyderabad,5.0,2.0,8.166666666666666,49.0,Medium scoring
924,829745.0,M Chinnaswamy Stadium,1.0,Chennai Super Kings,Royal Challengers Bangalore,7.0,1.0,7.5,45.0,Medium scoring
925,829745.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Chennai Super Kings,5.0,2.0,6.333333333333333,38.0,Low scoring
926,829747.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Mumbai Indians,6.0,1.0,7.5,45.0,Medium scoring
927,829747.0,Feroz Shah Kotla,2.0,Mumbai Indians,Delhi Daredevils,8.0,2.0,8.0,48.0,Medium scoring
928,829749.0,"Sardar Patel Stadium, Motera",1.0,Rajasthan Royals,Royal Challengers Bangalore,8.0,2.0,8.0,48.0,Medium scoring
929,829749.0,"Sardar Patel Stadium, Motera",2.0,Royal Challengers Bangalore,Rajasthan Royals,7.0,1.0,8.166666666666666,49.0,Medium scoring
930,829705.0,Eden Gardens,1.0,Mumbai Indians,Kolkata Knight Riders,6.0,3.0,6.166666666666667,37.0,Low scoring
931,829705.0,Eden Gardens,2.0,Kolkata Knight Riders,Mumbai Indians,5.0,1.0,6.333333333333333,38.0,Low scoring
932,829707.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Delhi Daredevils,8.0,2.0,9.5,57.0,High scoring
933,829707.0,"MA Chidambaram Stadium, Chepauk",2.0,Delhi Daredevils,Chennai Super Kings,6.0,3.0,6.666666666666667,40.0,Medium scoring
934,829709.0,Maharashtra Cricket Association Stadium,1.0,Rajasthan Royals,Kings XI Punjab,4.0,3.0,5.833333333333333,35.0,Low scoring
935,829709.0,Maharashtra Cricket Association Stadium,2.0,Kings XI Punjab,Rajasthan Royals,7.0,3.0,8.5,51.0,Medium scoring
936,829713.0,Eden Gardens,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,8.0,0.0,8.833333333333334,53.0,Medium scoring
937,829713.0,Eden Gardens,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,5.0,1.0,6.833333333333333,41.0,Medium scoring
938,829711.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Sunrisers Hyderabad,7.0,0.0,8.166666666666666,49.0,Medium scoring
939,829711.0,"MA Chidambaram Stadium, Chepauk",2.0,Sunrisers Hyderabad,Chennai Super Kings,7.0,2.0,7.666666666666667,46.0,Medium scoring
940,829715.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Rajasthan Royals,8.0,1.0,8.5,51.0,Medium scoring
941,829715.0,Feroz Shah Kotla,2.0,Rajasthan Royals,Delhi Daredevils,6.0,1.0,7.0,42.0,Medium scoring
942,829717.0,Wankhede Stadium,1.0,Kings XI Punjab,Mumbai Indians,11.0,0.0,9.333333333333334,56.0,High scoring
943,829717.0,Wankhede Stadium,2.0,Mumbai Indians,Kings XI Punjab,1.0,3.0,2.8333333333333335,17.0,Low scoring
944,829719.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Sunrisers Hyderabad,8.0,1.0,7.833333333333333,47.0,Medium scoring
945,829719.0,M Chinnaswamy Stadium,2.0,Sunrisers Hyderabad,Royal Challengers Bangalore,12.0,0.0,10.833333333333334,65.0,High scoring
946,829721.0,"Sardar Patel Stadium, Motera",1.0,Mumbai Indians,Rajasthan Royals,5.0,2.0,5.166666666666667,31.0,Low scoring
947,829721.0,"Sardar Patel Stadium, Motera",2.0,Rajasthan Royals,Mumbai Indians,6.0,1.0,7.0,42.0,Medium scoring
948,829725.0,Maharashtra Cricket Association Stadium,1.0,Kings XI Punjab,Delhi Daredevils,6.0,1.0,6.833333333333333,41.0,Medium scoring
949,829725.0,Maharashtra Cricket Association Stadium,2.0,Delhi Daredevils,Kings XI Punjab,7.0,1.0,7.833333333333333,47.0,Medium scoring
950,829727.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1.0,Sunrisers Hyderabad,Rajasthan Royals,6.0,3.0,5.833333333333333,35.0,Low scoring
951,829727.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,Rajasthan Royals,Sunrisers Hyderabad,4.0,0.0,6.0,36.0,Low scoring
952,829729.0,Wankhede Stadium,1.0,Mumbai Indians,Chennai Super Kings,4.0,3.0,5.166666666666667,31.0,Low scoring
953,829729.0,Wankhede Stadium,2.0,Chennai Super Kings,Mumbai Indians,17.0,0.0,15.0,90.0,High scoring
954,829731.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1.0,Delhi Daredevils,Sunrisers Hyderabad,5.0,1.0,6.5,39.0,Medium scoring
955,829731.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2.0,Sunrisers Hyderabad,Delhi Daredevils,7.0,0.0,8.333333333333334,50.0,Medium scoring
956,829751.0,Wankhede Stadium,1.0,Mumbai Indians,Sunrisers Hyderabad,7.0,1.0,7.666666666666667,46.0,Medium scoring
957,829751.0,Wankhede Stadium,2.0,Sunrisers Hyderabad,Mumbai Indians,10.0,1.0,8.666666666666666,52.0,Medium scoring
958,829753.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Kings XI Punjab,9.0,1.0,8.833333333333334,53.0,Medium scoring
959,829753.0,"MA Chidambaram Stadium, Chepauk",2.0,Kings XI Punjab,Chennai Super Kings,5.0,2.0,6.5,39.0,Medium scoring
960,829757.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Royal Challengers Bangalore,4.0,2.0,6.0,36.0,Low scoring
961,829757.0,Feroz Shah Kotla,2.0,Royal Challengers Bangalore,Delhi Daredevils,8.0,0.0,8.333333333333334,50.0,Medium scoring
962,829759.0,"Punjab Cricket Association Stadium, Mohali",1.0,Sunrisers Hyderabad,Kings XI Punjab,12.0,2.0,9.333333333333334,56.0,High scoring
963,829759.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Sunrisers Hyderabad,3.0,2.0,5.166666666666667,31.0,Low scoring
964,829765.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Kolkata Knight Riders,10.0,1.0,8.833333333333334,53.0,Medium scoring
965,829765.0,"MA Chidambaram Stadium, Chepauk",2.0,Kolkata Knight Riders,Chennai Super Kings,9.0,2.0,9.0,54.0,High scoring
966,829723.0,Eden Gardens,1.0,Chennai Super Kings,Kolkata Knight Riders,13.0,4.0,11.5,69.0,High scoring
967,829723.0,Eden Gardens,2.0,Kolkata Knight Riders,Chennai Super Kings,4.0,1.0,6.333333333333333,38.0,Low scoring
968,829763.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Rajasthan Royals,9.0,2.0,8.333333333333334,50.0,Medium scoring
969,829767.0,Feroz Shah Kotla,1.0,Kings XI Punjab,Delhi Daredevils,3.0,4.0,3.8333333333333335,23.0,Low scoring
970,829767.0,Feroz Shah Kotla,2.0,Delhi Daredevils,Kings XI Punjab,5.0,0.0,6.833333333333333,41.0,Medium scoring
971,829769.0,Wankhede Stadium,1.0,Mumbai Indians,Rajasthan Royals,7.0,1.0,7.833333333333333,47.0,Medium scoring
972,829769.0,Wankhede Stadium,2.0,Rajasthan Royals,Mumbai Indians,8.0,1.0,9.166666666666666,55.0,High scoring
973,829771.0,M Chinnaswamy Stadium,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,9.0,1.0,10.166666666666666,61.0,High scoring
